Country Name,Year,GDP,Population,Energy_Consumption_kWh,GDP_per_Capita,log_GDP_per_Capita,log_Energy,Cluster,DeepForest_Predicted_Cluster
Argentina,1965.0,28344705966.6389,22112629.0,14857.01,1281.8333797685884,7.156826488503681,9.60629439274962,1,1
Australia,1965.0,25977284156.3655,11388000.0,37487.19,2281.1103052656745,7.732855866355344,10.531781229023252,1,1
Austria,1965.0,10041659445.118,7270889.0,26064.307,1381.0772582442119,7.231342905980871,10.168360475379535,1,1
Belgium,1965.0,17597783297.4583,9463667.0,43930.613,1859.509986716386,7.528605915531683,10.690389453800876,1,1
Bangladesh,1965.0,5906636791.66667,59902519.0,0.0,98.60414704207464,4.601203800692379,0.0,1,1
Brazil,1965.0,22465522884.0988,83817583.0,3267.4482,268.028760553723,5.594818290443262,8.092070594678768,1,1
Canada,1965.0,54649410478.5226,19678000.0,70561.32,2777.183173011617,7.929552458149761,11.164251569958738,1,1
Switzerland,1965.0,16780226225.085,5856472.0,31157.002,2865.2448479366076,7.960758036677819,10.346826377261344,1,1
Chile,1965.0,6183988944.34606,9012938.0,8036.534,686.1235419955246,6.5325141042873955,8.991877598708001,1,1
China,1965.0,70565994356.1828,715185000.0,2123.5288,98.6681688740435,4.601846356923808,7.661305315593837,1,1
Colombia,1965.0,5760761904.7619,18169050.0,5375.8096,317.0645633515181,5.762254391579786,8.589850466102757,1,1
Germany,1965.0,134774688191.161,75963695.0,39086.637,1774.1986904554997,7.481667633929683,10.573561506716782,1,1
Denmark,1965.0,10870670865.3211,4759012.0,34926.24,2284.228504849557,7.734221300450771,10.46102231950581,1,1
Algeria,1965.0,3136284306.85469,12365976.0,2008.1426,253.62205998577792,5.539780328032702,7.605463342883288,1,1
Ecuador,1965.0,2387047395.70254,5303963.0,1632.1632,450.0497827195514,6.111577716381107,7.398274026739933,1,1
Spain,1965.0,25479619606.5284,31954292.0,10507.617,797.3770661709044,6.68258099984885,9.259950866249516,1,1
Finland,1965.0,8680393838.88018,4563732.0,25284.799,1902.038471777085,7.551207083474925,10.137998212777527,1,1
France,1965.0,100522559916.017,49877725.0,27621.375,2015.3798096448263,7.609059009087935,10.226381411680684,1,1
United Kingdom,1965.0,101824755078.991,54348050.0,42609.754,1873.567774354204,7.536133391486188,10.659861941714068,1,1
Greece,1965.0,7582209670.27425,8550333.0,9287.967,886.7736110715513,6.788716768001818,9.136582630792127,1,1
India,1965.0,59556105229.0052,490140146.0,1263.8252,121.50831902882977,4.808178938118399,7.142689209795452,1,1
Ireland,1965.0,3035655793.5247,2877300.0,23550.094,1055.0362470109826,6.96227778849813,10.066927552718035,1,1
Iraq,1965.0,2335785506.0858,8202140.0,2804.7407,284.7775709858403,5.6552137844100505,7.939422847269113,1,1
Iceland,1965.0,531569563.888591,192286.0,39424.312,2764.473564838787,7.924967170480635,10.582163325560229,1,1
Israel,1965.0,4329084428.62583,2563000.0,17588.584,1689.0692269316542,7.432524769759624,9.775062187650919,1,1
Italy,1965.0,70717012186.1774,52112350.0,18035.14,1357.0106162200975,7.213776125628657,9.80013280176412,1,1
Japan,1965.0,97338107605.8236,97952000.0,18152.096,993.7327222090778,6.902474080178139,9.806596403658533,1,1
Kuwait,1965.0,2097199161.12034,521174.0,152004.22,4023.990377724791,8.300277799222425,11.931670141344,0,0
Sri Lanka,1965.0,1698319327.73109,10916965.0,957.5753,155.5669847554783,5.053483936013691,6.865448119650395,1,1
Luxembourg,1965.0,929477284.788002,331500.0,126790.77,2803.8530461176533,7.939106426608513,11.750301413516043,0,0
Morocco,1965.0,2948331090.46752,13239171.0,1341.546,222.6975609324421,5.410294965139558,7.202323090228037,1,1
Mexico,1965.0,21840000000.0,43174477.0,6793.9497,505.8544194988164,6.22822382133033,8.823934924056006,1,1
Malaysia,1965.0,2956337669.29525,9056408.0,3653.367,326.43600744304473,5.791292638862328,8.203678169770706,1,1
North America,1965.0,798251191315.629,214028461.0,55271.97,3729.6497278258194,8.22433768723422,10.920039279587659,1,1
Netherlands,1965.0,22721869808.1438,12294732.0,33652.184,1848.0980153242706,7.522453239892517,10.423862951696135,1,1
Norway,1965.0,8111945661.21624,3723168.0,57860.05,2178.77508111808,7.686976976661306,10.965799725617455,1,1
New Zealand,1965.0,5706251400.19577,2628400.0,32322.451,2170.9980977765067,7.683402805259937,10.38354828292498,1,1
Oman,1965.0,63279974.6880101,585236.0,166.39279,108.12727632614893,4.692514873746546,5.12034308663797,1,1
Pakistan,1965.0,5929231415.37169,52209010.0,1574.9092,113.56720641459567,4.741161606389229,7.362587654544864,1,1
Peru,1965.0,5163008077.37371,11761085.0,4677.004,438.99079696930255,6.086753810714707,8.450626802210026,1,1
Philippines,1965.0,6517349771.93386,32625316.0,1915.7188,199.76357537606256,5.302127973833484,7.5583700447533735,1,1
Portugal,1965.0,4901711247.81592,8998595.0,5605.3325,544.7196198757606,6.302105327138982,8.631652041417894,1,1
Saudi Arabia,1965.0,2647955557.55556,2928771.0,80285.836,904.1183341256657,6.808065691092075,11.293360951253163,1,1
Singapore,1965.0,974644096.144674,1886900.0,25597.227,516.5319286367449,6.249071221085073,10.150278370256721,1,1
Sweden,1965.0,24964233890.5922,7733853.0,50815.094,3227.916782306594,8.079901998455467,10.835968394416179,1,1
Thailand,1965.0,4388937649.03846,31149337.0,985.7843,140.89987369678076,4.955121694079489,6.894451474516476,1,1
Trinidad and Tobago,1965.0,736573158.567104,928425.0,36217.64,793.3577387156787,6.677533912317456,10.497329182416602,1,1
